Well,Content,Raw Data (600),
I17,Sample X209,0.069,
I18,Sample X210,0.068,
I19,Sample X211,0.067,
I20,Sample X212,0.069,
I21,Sample X213,0.071,
I22,Sample X214,0.066,
I23,Sample X215,0.081,
I24,Sample X216,0.077,
J01,Sample X217,0.076,
J02,Sample X218,0.077,
J03,Sample X219,0.065,
J04,Sample X220,0.068,
J05,Sample X221,0.067,
J06,Sample X222,0.070,
J07,Sample X223,0.065,
J08,Sample X224,0.070,
J09,Sample X225,0.070,
J10,Sample X226,0.067,
J11,Sample X227,0.066,
J12,Sample X228,0.072,
J13,Sample X229,0.068,
J14,Sample X230,0.066,
J15,Sample X231,0.072,
J16,Sample X232,0.075,
J17,Sample X233,0.065,
J18,Sample X234,0.068,
J19,Sample X235,0.072,
J20,Sample X236,0.068,
J21,Sample X237,0.065,
J22,Sample X238,0.068,
J23,Sample X239,0.080,
J24,Sample X240,0.086,
K01,Sample X241,0.077,
K02,Sample X242,0.073,
K03,Sample X243,0.065,
K04,Sample X244,0.064,
K05,Sample X245,0.069,
K06,Sample X246,0.067,
K07,Sample X247,0.067,
K08,Sample X248,0.068,
K09,Sample X249,0.066,
K10,Sample X250,0.068,
K11,Sample X251,0.066,
K12,Sample X252,0.069,
K13,Sample X253,0.066,
K14,Sample X254,0.068,
K15,Sample X255,0.067,
K16,Sample X256,0.070,
K17,Sample X257,0.069,
K18,Sample X258,0.072,
K19,Sample X259,0.066,
K20,Sample X260,0.079,
K21,Sample X261,0.068,
K22,Sample X262,0.066,
K23,Sample X263,0.079,
K24,Sample X264,0.085,
L01,Sample X265,0.081,
L02,Sample X266,0.079,
L03,Sample X267,0.067,
L04,Sample X268,0.068,
L05,Sample X269,0.067,
L06,Sample X270,0.063,
L07,Sample X271,0.075,
L08,Sample X272,0.067,
L09,Sample X273,0.071,
L10,Sample X274,0.072,
L11,Sample X275,0.070,
L12,Sample X276,0.065,
L13,Sample X277,0.070,
L14,Sample X278,0.070,
L15,Sample X279,0.075,
L16,Sample X280,0.070,
L17,Sample X281,0.065,
L18,Sample X282,0.068,
L19,Sample X283,0.071,
L20,Sample X284,0.065,
L21,Sample X285,0.067,
L22,Sample X286,0.065,
L23,Sample X287,0.168,
L24,Sample X288,0.114,
M01,Sample X289,0.076,
M02,Sample X290,0.082,
M03,Sample X291,0.067,
M04,Sample X292,0.064,
M05,Sample X293,0.064,
M06,Sample X294,0.067,
M07,Sample X295,0.071,
M08,Sample X296,0.068,
M09,Sample X297,0.067,
M10,Sample X298,0.065,
M11,Sample X299,0.065,
M12,Sample X300,0.066,
M13,Sample X301,0.064,
M14,Sample X302,0.127,
M15,Sample X303,0.070,
M16,Sample X304,0.063,
M17,Sample X305,0.068,
M18,Sample X306,0.062,
M19,Sample X307,0.067,
M20,Sample X308,0.065,
M21,Sample X309,0.069,
M22,Sample X310,0.064,
M23,Sample X311,0.068,
M24,Sample X312,0.074,
N01,Sample X313,0.078,
N02,Sample X314,0.074,
N03,Sample X315,0.076,
N04,Sample X316,0.067,
N05,Sample X317,0.067,
N06,Sample X318,0.065,
N07,Sample X319,0.078,
N08,Sample X320,0.069,
N09,Sample X321,0.087,
N10,Sample X322,0.066,
N11,Sample X323,0.067,
N12,Sample X324,0.068,
N13,Sample X325,0.065,
N14,Sample X326,0.069,
N15,Sample X327,0.065,
N16,Sample X328,0.067,
N17,Sample X329,0.065,
N18,Sample X330,0.067,
N19,Sample X331,0.066,
N20,Sample X332,0.062,
N21,Sample X333,0.065,
N22,Sample X334,0.065,
N23,Sample X335,0.069,
N24,Sample X336,0.073,
O01,Sample X337,0.084,
O02,Sample X338,0.072,
O03,Sample X339,0.073,
O04,Sample X340,0.064,
O05,Sample X341,0.068,
O06,Sample X342,0.071,
O07,Sample X343,0.067,
O08,Sample X344,0.066,
O09,Sample X345,0.098,
O10,Sample X346,0.067,
O11,Sample X347,0.067,
O12,Sample X348,0.066,
O13,Sample X349,0.064,
O14,Sample X350,0.067,
O15,Sample X351,0.076,
O16,Sample X352,0.069,
O17,Sample X353,0.070,
O18,Sample X354,0.070,
O19,Sample X355,0.069,
O20,Sample X356,0.069,
O21,Sample X357,0.070,
O22,Sample X358,0.066,
O23,Sample X359,0.072,
O24,Sample X360,0.071,
P01,Sample X361,0.079,
P02,Sample X362,0.075,
P03,Sample X363,0.068,
P04,Sample X364,0.076,
P05,Sample X365,0.071,
P06,Sample X366,0.070,
P07,Sample X367,0.078,
P08,Sample X368,0.074,
P09,Sample X369,0.114,
P10,Sample X370,0.077,
P11,Sample X371,0.073,
P12,Sample X372,0.076,
P13,Sample X373,0.072,
P14,Sample X374,0.072,
P15,Sample X375,0.071,
P16,Sample X376,0.075,
P17,Sample X377,0.069,
P18,Sample X378,0.075,
P19,Sample X379,0.078,
P20,Sample X380,0.070,
P21,Sample X381,0.096,
P22,Sample X382,0.073,
P23,Sample X383,0.074,
P24,Sample X384,0.080,
