Well,Content,Raw Data (600),
N09,Sample X321,0.253,
N10,Sample X322,0.216,
N11,Sample X323,0.235,
N12,Sample X324,0.224,
N13,Sample X325,0.210,
N14,Sample X326,0.221,
N15,Sample X327,0.213,
N16,Sample X328,0.222,
N17,Sample X329,0.236,
N18,Sample X330,0.231,
N19,Sample X331,0.238,
N20,Sample X332,0.189,
N21,Sample X333,0.219,
N22,Sample X334,0.227,
N23,Sample X335,1.720,
N24,Sample X336,1.757,
O01,Sample X337,1.795,
O02,Sample X338,1.632,
O03,Sample X339,0.265,
O04,Sample X340,0.219,
O05,Sample X341,0.259,
O06,Sample X342,0.235,
O07,Sample X343,0.218,
O08,Sample X344,0.302,
O09,Sample X345,0.247,
O10,Sample X346,0.229,
O11,Sample X347,0.242,
O12,Sample X348,0.220,
O13,Sample X349,0.216,
O14,Sample X350,0.231,
O15,Sample X351,0.309,
O16,Sample X352,0.247,
O17,Sample X353,0.231,
O18,Sample X354,0.248,
O19,Sample X355,0.249,
O20,Sample X356,0.247,
O21,Sample X357,0.239,
O22,Sample X358,0.230,
O23,Sample X359,1.739,
O24,Sample X360,1.750,
P01,Sample X361,1.824,
P02,Sample X362,1.747,
P03,Sample X363,0.261,
P04,Sample X364,0.281,
P05,Sample X365,0.256,
P06,Sample X366,0.247,
P07,Sample X367,0.290,
P08,Sample X368,0.281,
P09,Sample X369,0.287,
P10,Sample X370,0.294,
P11,Sample X371,0.289,
P12,Sample X372,0.275,
P13,Sample X373,0.265,
P14,Sample X374,0.283,
P15,Sample X375,0.250,
P16,Sample X376,0.274,
P17,Sample X377,0.258,
P18,Sample X378,0.282,
P19,Sample X379,0.309,
P20,Sample X380,0.240,
P21,Sample X381,0.254,
P22,Sample X382,0.261,
P23,Sample X383,1.766,
P24,Sample X384,1.788,
