Well,Content,Raw Data (600),
O06,Sample X342,0.147,
O07,Sample X343,0.135,
O08,Sample X344,0.135,
O09,Sample X345,0.173,
O10,Sample X346,0.143,
O11,Sample X347,0.144,
O12,Sample X348,0.135,
O13,Sample X349,0.132,
O14,Sample X350,0.141,
O15,Sample X351,0.182,
O16,Sample X352,0.147,
O17,Sample X353,0.143,
O18,Sample X354,0.151,
O19,Sample X355,0.151,
O20,Sample X356,0.147,
O21,Sample X357,0.146,
O22,Sample X358,0.142,
O23,Sample X359,1.059,
O24,Sample X360,1.042,
P01,Sample X361,1.204,
P02,Sample X362,1.122,
P03,Sample X363,0.167,
P04,Sample X364,0.175,
P05,Sample X365,0.160,
P06,Sample X366,0.152,
P07,Sample X367,0.182,
P08,Sample X368,0.173,
P09,Sample X369,0.197,
P10,Sample X370,0.179,
P11,Sample X371,0.176,
P12,Sample X372,0.176,
P13,Sample X373,0.161,
P14,Sample X374,0.177,
P15,Sample X375,0.161,
P16,Sample X376,0.175,
P17,Sample X377,0.162,
P18,Sample X378,0.178,
P19,Sample X379,0.189,
P20,Sample X380,0.150,
P21,Sample X381,0.165,
P22,Sample X382,0.163,
P23,Sample X383,1.093,
P24,Sample X384,1.135,
