Well,Content,Raw Data (600),
I08,Sample X200,0.163,
I09,Sample X201,0.144,
I10,Sample X202,0.163,
I11,Sample X203,0.155,
I12,Sample X204,0.162,
I13,Sample X205,0.167,
I14,Sample X206,0.164,
I15,Sample X207,0.163,
I16,Sample X208,0.172,
I17,Sample X209,0.176,
I18,Sample X210,0.172,
I19,Sample X211,0.157,
I20,Sample X212,0.164,
I21,Sample X213,0.171,
I22,Sample X214,0.159,
I23,Sample X215,0.966,
I24,Sample X216,1.514,
J01,Sample X217,1.553,
J02,Sample X218,1.554,
J03,Sample X219,0.159,
J04,Sample X220,0.166,
J05,Sample X221,0.178,
J06,Sample X222,0.183,
J07,Sample X223,0.168,
J08,Sample X224,0.174,
J09,Sample X225,0.188,
J10,Sample X226,0.181,
J11,Sample X227,0.169,
J12,Sample X228,0.189,
J13,Sample X229,0.161,
J14,Sample X230,0.171,
J15,Sample X231,0.195,
J16,Sample X232,0.188,
J17,Sample X233,0.168,
J18,Sample X234,0.171,
J19,Sample X235,0.173,
J20,Sample X236,0.182,
J21,Sample X237,0.172,
J22,Sample X238,0.173,
J23,Sample X239,1.634,
J24,Sample X240,1.552,
K01,Sample X241,1.768,
K02,Sample X242,1.508,
K03,Sample X243,0.155,
K04,Sample X244,0.155,
K05,Sample X245,0.169,
K06,Sample X246,0.171,
K07,Sample X247,0.161,
K08,Sample X248,0.165,
K09,Sample X249,0.161,
K10,Sample X250,0.175,
K11,Sample X251,0.161,
K12,Sample X252,0.155,
K13,Sample X253,0.165,
K14,Sample X254,0.162,
K15,Sample X255,0.161,
K16,Sample X256,0.173,
K17,Sample X257,0.168,
K18,Sample X258,0.188,
K19,Sample X259,0.156,
K20,Sample X260,0.171,
K21,Sample X261,0.172,
K22,Sample X262,0.179,
K23,Sample X263,1.539,
K24,Sample X264,1.510,
L01,Sample X265,1.615,
L02,Sample X266,1.416,
L03,Sample X267,0.174,
L04,Sample X268,0.169,
L05,Sample X269,0.172,
L06,Sample X270,0.162,
L07,Sample X271,0.174,
L08,Sample X272,0.175,
L09,Sample X273,0.185,
L10,Sample X274,0.168,
L11,Sample X275,0.175,
L12,Sample X276,0.167,
L13,Sample X277,0.173,
L14,Sample X278,0.182,
L15,Sample X279,0.204,
L16,Sample X280,0.172,
L17,Sample X281,0.167,
L18,Sample X282,0.179,
L19,Sample X283,0.176,
L20,Sample X284,0.166,
L21,Sample X285,0.182,
L22,Sample X286,0.160,
L23,Sample X287,0.926,
L24,Sample X288,1.647,
M01,Sample X289,1.619,
M02,Sample X290,1.999,
M03,Sample X291,0.166,
M04,Sample X292,0.168,
M05,Sample X293,0.155,
M06,Sample X294,0.174,
M07,Sample X295,0.186,
M08,Sample X296,0.177,
M09,Sample X297,0.170,
M10,Sample X298,0.167,
M11,Sample X299,0.165,
M12,Sample X300,0.162,
M13,Sample X301,0.140,
M14,Sample X302,0.227,
M15,Sample X303,0.165,
M16,Sample X304,0.151,
M17,Sample X305,0.166,
M18,Sample X306,0.152,
M19,Sample X307,0.169,
M20,Sample X308,0.164,
M21,Sample X309,0.193,
M22,Sample X310,0.156,
M23,Sample X311,0.554,
M24,Sample X312,1.176,
N01,Sample X313,1.569,
N02,Sample X314,1.547,
N03,Sample X315,0.204,
N04,Sample X316,0.170,
N05,Sample X317,0.164,
N06,Sample X318,0.163,
N07,Sample X319,0.176,
N08,Sample X320,0.185,
N09,Sample X321,0.196,
N10,Sample X322,0.164,
N11,Sample X323,0.178,
N12,Sample X324,0.171,
N13,Sample X325,0.157,
N14,Sample X326,0.167,
N15,Sample X327,0.161,
N16,Sample X328,0.168,
N17,Sample X329,0.175,
N18,Sample X330,0.172,
N19,Sample X331,0.181,
N20,Sample X332,0.143,
N21,Sample X333,0.163,
N22,Sample X334,0.170,
N23,Sample X335,1.488,
N24,Sample X336,1.567,
O01,Sample X337,1.641,
O02,Sample X338,1.176,
O03,Sample X339,0.196,
O04,Sample X340,0.164,
O05,Sample X341,0.184,
O06,Sample X342,0.177,
O07,Sample X343,0.160,
O08,Sample X344,0.161,
O09,Sample X345,0.198,
O10,Sample X346,0.173,
O11,Sample X347,0.177,
O12,Sample X348,0.164,
O13,Sample X349,0.161,
O14,Sample X350,0.173,
O15,Sample X351,0.227,
O16,Sample X352,0.180,
O17,Sample X353,0.173,
O18,Sample X354,0.179,
O19,Sample X355,0.187,
O20,Sample X356,0.180,
O21,Sample X357,0.176,
O22,Sample X358,0.168,
O23,Sample X359,1.505,
O24,Sample X360,1.509,
P01,Sample X361,1.590,
P02,Sample X362,1.562,
P03,Sample X363,0.196,
P04,Sample X364,0.210,
P05,Sample X365,0.194,
P06,Sample X366,0.189,
P07,Sample X367,0.217,
P08,Sample X368,0.212,
P09,Sample X369,0.228,
P10,Sample X370,0.224,
P11,Sample X371,0.210,
P12,Sample X372,0.214,
P13,Sample X373,0.204,
P14,Sample X374,0.211,
P15,Sample X375,0.188,
P16,Sample X376,0.211,
P17,Sample X377,0.201,
P18,Sample X378,0.217,
P19,Sample X379,0.234,
P20,Sample X380,0.184,
P21,Sample X381,0.197,
P22,Sample X382,0.198,
P23,Sample X383,1.528,
P24,Sample X384,1.554,
