Well,Content,Raw Data (600),
H13,Sample X181,0.079,
H14,Sample X182,0.089,
H15,Sample X183,0.079,
H16,Sample X184,0.089,
H17,Sample X185,0.083,
H18,Sample X186,0.082,
H19,Sample X187,0.078,
H20,Sample X188,0.080,
H21,Sample X189,0.080,
H22,Sample X190,0.081,
H23,Sample X191,0.117,
H24,Sample X192,0.124,
I01,Sample X193,0.125,
I02,Sample X194,0.125,
I03,Sample X195,0.086,
I04,Sample X196,0.078,
I05,Sample X197,0.080,
I06,Sample X198,0.076,
I07,Sample X199,0.075,
I08,Sample X200,0.080,
I09,Sample X201,0.075,
I10,Sample X202,0.078,
I11,Sample X203,0.080,
I12,Sample X204,0.081,
I13,Sample X205,0.081,
I14,Sample X206,0.089,
I15,Sample X207,0.080,
I16,Sample X208,0.084,
I17,Sample X209,0.081,
I18,Sample X210,0.082,
I19,Sample X211,0.079,
I20,Sample X212,0.080,
I21,Sample X213,0.082,
I22,Sample X214,0.079,
I23,Sample X215,0.108,
I24,Sample X216,0.119,
J01,Sample X217,0.117,
J02,Sample X218,0.121,
J03,Sample X219,0.078,
J04,Sample X220,0.080,
J05,Sample X221,0.083,
J06,Sample X222,0.084,
J07,Sample X223,0.082,
J08,Sample X224,0.085,
J09,Sample X225,0.085,
J10,Sample X226,0.082,
J11,Sample X227,0.079,
J12,Sample X228,0.087,
J13,Sample X229,0.077,
J14,Sample X230,0.079,
J15,Sample X231,0.087,
J16,Sample X232,0.089,
J17,Sample X233,0.081,
J18,Sample X234,0.082,
J19,Sample X235,0.081,
J20,Sample X236,0.083,
J21,Sample X237,0.080,
J22,Sample X238,0.082,
J23,Sample X239,0.132,
J24,Sample X240,0.145,
K01,Sample X241,0.118,
K02,Sample X242,0.109,
K03,Sample X243,0.077,
K04,Sample X244,0.073,
K05,Sample X245,0.081,
K06,Sample X246,0.079,
K07,Sample X247,0.080,
K08,Sample X248,0.081,
K09,Sample X249,0.077,
K10,Sample X250,0.082,
K11,Sample X251,0.079,
K12,Sample X252,0.083,
K13,Sample X253,0.081,
K14,Sample X254,0.079,
K15,Sample X255,0.079,
K16,Sample X256,0.082,
K17,Sample X257,0.082,
K18,Sample X258,0.086,
K19,Sample X259,0.078,
K20,Sample X260,0.092,
K21,Sample X261,0.079,
K22,Sample X262,0.082,
K23,Sample X263,0.121,
K24,Sample X264,0.130,
L01,Sample X265,0.128,
L02,Sample X266,0.121,
L03,Sample X267,0.082,
L04,Sample X268,0.080,
L05,Sample X269,0.080,
L06,Sample X270,0.078,
L07,Sample X271,0.089,
L08,Sample X272,0.080,
L09,Sample X273,0.086,
L10,Sample X274,0.083,
L11,Sample X275,0.085,
L12,Sample X276,0.079,
L13,Sample X277,0.080,
L14,Sample X278,0.082,
L15,Sample X279,0.092,
L16,Sample X280,0.085,
L17,Sample X281,0.077,
L18,Sample X282,0.084,
L19,Sample X283,0.082,
L20,Sample X284,0.080,
L21,Sample X285,0.080,
L22,Sample X286,0.079,
L23,Sample X287,0.195,
L24,Sample X288,0.163,
M01,Sample X289,0.114,
M02,Sample X290,0.119,
M03,Sample X291,0.081,
M04,Sample X292,0.078,
M05,Sample X293,0.076,
M06,Sample X294,0.082,
M07,Sample X295,0.086,
M08,Sample X296,0.083,
M09,Sample X297,0.081,
M10,Sample X298,0.080,
M11,Sample X299,0.076,
M12,Sample X300,0.077,
M13,Sample X301,0.076,
M14,Sample X302,0.145,
M15,Sample X303,0.081,
M16,Sample X304,0.076,
M17,Sample X305,0.079,
M18,Sample X306,0.075,
M19,Sample X307,0.082,
M20,Sample X308,0.076,
M21,Sample X309,0.087,
M22,Sample X310,0.078,
M23,Sample X311,0.098,
M24,Sample X312,0.117,
N01,Sample X313,0.121,
N02,Sample X314,0.117,
N03,Sample X315,0.093,
N04,Sample X316,0.079,
N05,Sample X317,0.079,
N06,Sample X318,0.077,
N07,Sample X319,0.090,
N08,Sample X320,0.084,
N09,Sample X321,0.101,
N10,Sample X322,0.082,
N11,Sample X323,0.082,
N12,Sample X324,0.079,
N13,Sample X325,0.078,
N14,Sample X326,0.083,
N15,Sample X327,0.076,
N16,Sample X328,0.079,
N17,Sample X329,0.080,
N18,Sample X330,0.081,
N19,Sample X331,0.085,
N20,Sample X332,0.074,
N21,Sample X333,0.079,
N22,Sample X334,0.080,
N23,Sample X335,0.104,
N24,Sample X336,0.138,
O01,Sample X337,0.150,
O02,Sample X338,0.121,
O03,Sample X339,0.088,
O04,Sample X340,0.079,
O05,Sample X341,0.081,
O06,Sample X342,0.082,
O07,Sample X343,0.078,
O08,Sample X344,0.080,
O09,Sample X345,0.111,
O10,Sample X346,0.082,
O11,Sample X347,0.082,
O12,Sample X348,0.075,
O13,Sample X349,0.076,
O14,Sample X350,0.081,
O15,Sample X351,0.096,
O16,Sample X352,0.084,
O17,Sample X353,0.081,
O18,Sample X354,0.083,
O19,Sample X355,0.084,
O20,Sample X356,0.082,
O21,Sample X357,0.086,
O22,Sample X358,0.079,
O23,Sample X359,0.111,
O24,Sample X360,0.107,
P01,Sample X361,0.125,
P02,Sample X362,0.119,
P03,Sample X363,0.087,
P04,Sample X364,0.094,
P05,Sample X365,0.088,
P06,Sample X366,0.084,
P07,Sample X367,0.097,
P08,Sample X368,0.092,
P09,Sample X369,0.129,
P10,Sample X370,0.098,
P11,Sample X371,0.093,
P12,Sample X372,0.092,
P13,Sample X373,0.088,
P14,Sample X374,0.095,
P15,Sample X375,0.086,
P16,Sample X376,0.092,
P17,Sample X377,0.087,
P18,Sample X378,0.093,
P19,Sample X379,0.097,
P20,Sample X380,0.084,
P21,Sample X381,0.111,
P22,Sample X382,0.090,
P23,Sample X383,0.115,
P24,Sample X384,0.119,
