Well,Content,Raw Data (600),
N22,Sample X334,0.219,
N23,Sample X335,1.714,
N24,Sample X336,1.737,
O01,Sample X337,1.774,
O02,Sample X338,1.589,
O03,Sample X339,0.258,
O04,Sample X340,0.213,
O05,Sample X341,0.245,
O06,Sample X342,0.225,
O07,Sample X343,0.208,
O08,Sample X344,0.245,
O09,Sample X345,0.242,
O10,Sample X346,0.219,
O11,Sample X347,0.229,
O12,Sample X348,0.210,
O13,Sample X349,0.207,
O14,Sample X350,0.220,
O15,Sample X351,0.295,
O16,Sample X352,0.241,
O17,Sample X353,0.222,
O18,Sample X354,0.235,
O19,Sample X355,0.238,
O20,Sample X356,0.233,
O21,Sample X357,0.228,
O22,Sample X358,0.214,
O23,Sample X359,1.732,
O24,Sample X360,1.730,
P01,Sample X361,1.819,
P02,Sample X362,1.732,
P03,Sample X363,0.252,
P04,Sample X364,0.275,
P05,Sample X365,0.250,
P06,Sample X366,0.236,
P07,Sample X367,0.279,
P08,Sample X368,0.273,
P09,Sample X369,0.279,
P10,Sample X370,0.278,
P11,Sample X371,0.276,
P12,Sample X372,0.262,
P13,Sample X373,0.255,
P14,Sample X374,0.273,
P15,Sample X375,0.242,
P16,Sample X376,0.265,
P17,Sample X377,0.248,
P18,Sample X378,0.272,
P19,Sample X379,0.298,
P20,Sample X380,0.234,
P21,Sample X381,0.244,
P22,Sample X382,0.252,
P23,Sample X383,1.764,
P24,Sample X384,1.772,
