Well,Content,Raw Data (600),
N03,Sample X315,0.113,
N04,Sample X316,0.092,
N05,Sample X317,0.093,
N06,Sample X318,0.090,
N07,Sample X319,0.103,
N08,Sample X320,0.101,
N09,Sample X321,0.117,
N10,Sample X322,0.094,
N11,Sample X323,0.097,
N12,Sample X324,0.093,
N13,Sample X325,0.088,
N14,Sample X326,0.096,
N15,Sample X327,0.091,
N16,Sample X328,0.093,
N17,Sample X329,0.097,
N18,Sample X330,0.098,
N19,Sample X331,0.096,
N20,Sample X332,0.082,
N21,Sample X333,0.096,
N22,Sample X334,0.093,
N23,Sample X335,0.184,
N24,Sample X336,0.267,
O01,Sample X337,0.286,
O02,Sample X338,0.233,
O03,Sample X339,0.108,
O04,Sample X340,0.089,
O05,Sample X341,0.098,
O06,Sample X342,0.099,
O07,Sample X343,0.093,
O08,Sample X344,0.092,
O09,Sample X345,0.130,
O10,Sample X346,0.095,
O11,Sample X347,0.098,
O12,Sample X348,0.089,
O13,Sample X349,0.090,
O14,Sample X350,0.096,
O15,Sample X351,0.113,
O16,Sample X352,0.096,
O17,Sample X353,0.096,
O18,Sample X354,0.098,
O19,Sample X355,0.097,
O20,Sample X356,0.097,
O21,Sample X357,0.095,
O22,Sample X358,0.093,
O23,Sample X359,0.196,
O24,Sample X360,0.200,
P01,Sample X361,0.228,
P02,Sample X362,0.218,
P03,Sample X363,0.106,
P04,Sample X364,0.114,
P05,Sample X365,0.108,
P06,Sample X366,0.100,
P07,Sample X367,0.117,
P08,Sample X368,0.112,
P09,Sample X369,0.144,
P10,Sample X370,0.116,
P11,Sample X371,0.111,
P12,Sample X372,0.112,
P13,Sample X373,0.106,
P14,Sample X374,0.112,
P15,Sample X375,0.103,
P16,Sample X376,0.113,
P17,Sample X377,0.104,
P18,Sample X378,0.114,
P19,Sample X379,0.118,
P20,Sample X380,0.100,
P21,Sample X381,0.114,
P22,Sample X382,0.104,
P23,Sample X383,0.212,
P24,Sample X384,0.226,
