Well,Content,Raw Data (600),
E01,Sample X97,0.858,
E02,Sample X98,0.919,
E03,Sample X99,0.140,
E04,Sample X100,0.194,
E05,Sample X101,0.132,
E06,Sample X102,0.134,
E07,Sample X103,0.139,
E08,Sample X104,0.126,
E09,Sample X105,0.124,
E10,Sample X106,0.139,
E11,Sample X107,0.128,
E12,Sample X108,0.127,
E13,Sample X109,0.127,
E14,Sample X110,0.140,
E15,Sample X111,0.135,
E16,Sample X112,0.127,
E17,Sample X113,0.132,
E18,Sample X114,0.131,
E19,Sample X115,0.120,
E20,Sample X116,0.123,
E21,Sample X117,0.141,
E22,Sample X118,0.128,
E23,Sample X119,0.691,
E24,Sample X120,0.825,
F01,Sample X121,0.795,
F02,Sample X122,0.754,
F03,Sample X123,0.128,
F04,Sample X124,0.149,
F05,Sample X125,0.135,
F06,Sample X126,0.135,
F07,Sample X127,0.127,
F08,Sample X128,0.148,
F09,Sample X129,0.140,
F10,Sample X130,0.118,
F11,Sample X131,0.122,
F12,Sample X132,0.117,
F13,Sample X133,0.131,
F14,Sample X134,0.147,
F15,Sample X135,0.135,
F16,Sample X136,0.129,
F17,Sample X137,0.132,
F18,Sample X138,0.136,
F19,Sample X139,0.125,
F20,Sample X140,0.138,
F21,Sample X141,0.140,
F22,Sample X142,0.127,
F23,Sample X143,0.694,
F24,Sample X144,0.765,
G01,Sample X145,0.781,
G02,Sample X146,0.706,
G03,Sample X147,0.143,
G04,Sample X148,0.146,
G05,Sample X149,0.129,
G06,Sample X150,0.156,
G07,Sample X151,0.131,
G08,Sample X152,0.138,
G09,Sample X153,0.115,
G10,Sample X154,0.114,
G11,Sample X155,0.117,
G12,Sample X156,0.123,
G13,Sample X157,0.106,
G14,Sample X158,0.121,
G15,Sample X159,0.089,
G16,Sample X160,0.126,
G17,Sample X161,0.126,
G18,Sample X162,0.125,
G19,Sample X163,0.133,
G20,Sample X164,0.132,
G21,Sample X165,0.128,
G22,Sample X166,0.128,
G23,Sample X167,0.714,
G24,Sample X168,0.778,
H01,Sample X169,0.792,
H02,Sample X170,0.688,
H03,Sample X171,0.132,
H04,Sample X172,0.136,
H05,Sample X173,0.132,
H06,Sample X174,0.129,
H07,Sample X175,0.136,
H08,Sample X176,0.137,
H09,Sample X177,0.135,
H10,Sample X178,0.134,
H11,Sample X179,0.123,
H12,Sample X180,0.134,
H13,Sample X181,0.122,
H14,Sample X182,0.140,
H15,Sample X183,0.123,
H16,Sample X184,0.150,
H17,Sample X185,0.129,
H18,Sample X186,0.126,
H19,Sample X187,0.119,
H20,Sample X188,0.118,
H21,Sample X189,0.126,
H22,Sample X190,0.127,
H23,Sample X191,0.732,
H24,Sample X192,0.778,
I01,Sample X193,0.850,
I02,Sample X194,0.793,
I03,Sample X195,0.139,
I04,Sample X196,0.128,
I05,Sample X197,0.130,
I06,Sample X198,0.119,
I07,Sample X199,0.114,
I08,Sample X200,0.123,
I09,Sample X201,0.111,
I10,Sample X202,0.118,
I11,Sample X203,0.117,
I12,Sample X204,0.125,
I13,Sample X205,0.127,
I14,Sample X206,0.127,
I15,Sample X207,0.123,
I16,Sample X208,0.131,
I17,Sample X209,0.131,
I18,Sample X210,0.125,
I19,Sample X211,0.121,
I20,Sample X212,0.123,
I21,Sample X213,0.128,
I22,Sample X214,0.120,
I23,Sample X215,0.335,
I24,Sample X216,0.771,
J01,Sample X217,0.753,
J02,Sample X218,0.758,
J03,Sample X219,0.120,
J04,Sample X220,0.125,
J05,Sample X221,0.133,
J06,Sample X222,0.137,
J07,Sample X223,0.126,
J08,Sample X224,0.130,
J09,Sample X225,0.136,
J10,Sample X226,0.131,
J11,Sample X227,0.126,
J12,Sample X228,0.141,
J13,Sample X229,0.120,
J14,Sample X230,0.124,
J15,Sample X231,0.142,
J16,Sample X232,0.139,
J17,Sample X233,0.124,
J18,Sample X234,0.129,
J19,Sample X235,0.126,
J20,Sample X236,0.136,
J21,Sample X237,0.127,
J22,Sample X238,0.129,
J23,Sample X239,0.887,
J24,Sample X240,0.828,
K01,Sample X241,0.750,
K02,Sample X242,0.710,
K03,Sample X243,0.117,
K04,Sample X244,0.117,
K05,Sample X245,0.127,
K06,Sample X246,0.127,
K07,Sample X247,0.125,
K08,Sample X248,0.124,
K09,Sample X249,0.121,
K10,Sample X250,0.127,
K11,Sample X251,0.118,
K12,Sample X252,0.119,
K13,Sample X253,0.124,
K14,Sample X254,0.121,
K15,Sample X255,0.121,
K16,Sample X256,0.129,
K17,Sample X257,0.127,
K18,Sample X258,0.138,
K19,Sample X259,0.117,
K20,Sample X260,0.132,
K21,Sample X261,0.126,
K22,Sample X262,0.131,
K23,Sample X263,0.782,
K24,Sample X264,0.810,
L01,Sample X265,0.836,
L02,Sample X266,0.788,
L03,Sample X267,0.132,
L04,Sample X268,0.126,
L05,Sample X269,0.130,
L06,Sample X270,0.124,
L07,Sample X271,0.133,
L08,Sample X272,0.130,
L09,Sample X273,0.136,
L10,Sample X274,0.129,
L11,Sample X275,0.132,
L12,Sample X276,0.123,
L13,Sample X277,0.126,
L14,Sample X278,0.133,
L15,Sample X279,0.150,
L16,Sample X280,0.131,
L17,Sample X281,0.123,
L18,Sample X282,0.134,
L19,Sample X283,0.133,
L20,Sample X284,0.124,
L21,Sample X285,0.134,
L22,Sample X286,0.122,
L23,Sample X287,0.900,
L24,Sample X288,0.743,
M01,Sample X289,0.749,
M02,Sample X290,0.734,
M03,Sample X291,0.125,
M04,Sample X292,0.122,
M05,Sample X293,0.116,
M06,Sample X294,0.129,
M07,Sample X295,0.138,
M08,Sample X296,0.131,
M09,Sample X297,0.126,
M10,Sample X298,0.125,
M11,Sample X299,0.123,
M12,Sample X300,0.121,
M13,Sample X301,0.110,
M14,Sample X302,0.186,
M15,Sample X303,0.123,
M16,Sample X304,0.115,
M17,Sample X305,0.126,
M18,Sample X306,0.114,
M19,Sample X307,0.124,
M20,Sample X308,0.122,
M21,Sample X309,0.141,
M22,Sample X310,0.116,
M23,Sample X311,0.509,
M24,Sample X312,0.716,
N01,Sample X313,0.744,
N02,Sample X314,0.778,
N03,Sample X315,0.151,
N04,Sample X316,0.128,
N05,Sample X317,0.124,
N06,Sample X318,0.120,
N07,Sample X319,0.134,
N08,Sample X320,0.137,
N09,Sample X321,0.149,
N10,Sample X322,0.125,
N11,Sample X323,0.132,
N12,Sample X324,0.125,
N13,Sample X325,0.118,
N14,Sample X326,0.128,
N15,Sample X327,0.122,
N16,Sample X328,0.125,
N17,Sample X329,0.128,
N18,Sample X330,0.129,
N19,Sample X331,0.131,
N20,Sample X332,0.109,
N21,Sample X333,0.124,
N22,Sample X334,0.125,
N23,Sample X335,0.675,
N24,Sample X336,0.879,
O01,Sample X337,0.907,
O02,Sample X338,0.773,
O03,Sample X339,0.145,
O04,Sample X340,0.121,
O05,Sample X341,0.130,
O06,Sample X342,0.131,
O07,Sample X343,0.122,
O08,Sample X344,0.123,
O09,Sample X345,0.160,
O10,Sample X346,0.129,
O11,Sample X347,0.130,
O12,Sample X348,0.122,
O13,Sample X349,0.118,
O14,Sample X350,0.130,
O15,Sample X351,0.159,
O16,Sample X352,0.134,
O17,Sample X353,0.129,
O18,Sample X354,0.135,
O19,Sample X355,0.135,
O20,Sample X356,0.131,
O21,Sample X357,0.128,
O22,Sample X358,0.125,
O23,Sample X359,0.717,
O24,Sample X360,0.704,
P01,Sample X361,0.815,
P02,Sample X362,0.785,
P03,Sample X363,0.145,
P04,Sample X364,0.155,
P05,Sample X365,0.145,
P06,Sample X366,0.135,
P07,Sample X367,0.163,
P08,Sample X368,0.156,
P09,Sample X369,0.186,
P10,Sample X370,0.160,
P11,Sample X371,0.154,
P12,Sample X372,0.159,
P13,Sample X373,0.147,
P14,Sample X374,0.161,
P15,Sample X375,0.144,
P16,Sample X376,0.155,
P17,Sample X377,0.143,
P18,Sample X378,0.159,
P19,Sample X379,0.166,
P20,Sample X380,0.138,
P21,Sample X381,0.153,
P22,Sample X382,0.147,
P23,Sample X383,0.745,
P24,Sample X384,0.788,
